ID_POLYGON,ID_COBER,CODE_ABREV,DESC_COBER,SUPERF_POR,ATRIBUTOS,SIOSE_CODE,SUPERF_HA,SUP_HA,clip_area_ha
8d52532f-21b7-4cde-b109-2d2716f9fd9e,600,,No Predefinida,100.0,12,R(50LFNsc_50UDS(50EDFem_20ZAU_20SNE_10VAP)),14.52408180545,14.52408180545,14.524081805445997
8d58f39d-7d24-4338-95c0-c41d156f253a,813,UDS,Discontinuo,100.0,,UDS(35EDFva_25ZAU_20VAP_08SNE_07LAA_05OCT),256.1778016147,256.1778016147,1.9049886412331964
8dc27734-12ee-4b2b-9969-cfae1bbf4b2e,300,PST,Pastizal,100.0,46,PSTpc,9.17542954439,9.17542954439,9.175429544387491
8dc441d4-72ad-4252-a319-01be0b470851,600,,No Predefinida,100.0,12,R(90PST_10EDFva),5.51961411963,5.51961411963,5.5196141196295985
8df4443a-db68-4589-bd09-474e18c5171b,813,UDS,Discontinuo,100.0,,UDS(42SNE_20EDFva_20VAP_10ZAU_05OCT_03LAA),17.15058702539,17.15058702539,17.15058702538855
8e1d90be-c624-43a2-bb44-2a06bc16467c,600,,No Predefinida,100.0,12,R(60CHLsc_40TCO(80VAP_10EDFnv_10OCT)),1.66047991135,1.66047991135,1.6604799113496493
8ea3b3e4-30f9-46b5-b1df-3142536f7c6f,333,SDN,Suelo Desnudo,100.0,49,SDNze,20.4278108892,20.4278108892,20.427810889198966
8ebaf399-1cc7-4ac4-be5b-89ebd7d90f9f,812,UEN,Ensanche,100.0,,UEN(40EDFea_30ZAU_15SNE_10VAP_05LAA),153.33859440488,153.33859440488,153.33859440487706
8f0d3b5f-3551-4f3b-a1d6-74cdfe1f77f3,600,,No Predefinida,100.0,12,R(60LFNsc_30PSTpc_10UDS(37SNE_30EDFva_15ZAU_10VAP_08LAA)),4.37241761856,4.37241761856,4.372417618562735
8f700e55-ab97-47c8-841d-e2b2afd62ef9,231,LVI,Viñedo,100.0,32,LVIrr,14.8177976048,14.8177976048,14.817797604799425
8fac88ef-f221-46e8-9ede-c3db1590cca7,600,,No Predefinida,100.0,11,A(60MTRpc_40PSTpc),23.14862886806,23.14862886806,23.148628868061685
8fac9198-97af-4aa3-8ce1-da2ec5cde330,812,UEN,Ensanche,100.0,,UEN(80EDFem_15VAP_05ZAU),32.79306261608,32.79306261608,32.793062616075495
8fbc3c8f-e6cc-4bbd-9ed1-d547cef81272,813,UDS,Discontinuo,100.0,,UDS(40ZAU_25EDFva_20SNE_15VAP),2.02287272722,2.02287272722,2.0228727272242586
8ff3d301-e35a-4366-971c-f13d20ca6e24,600,,No Predefinida,100.0,12,R(75LFNsc_15PSTpc_10LOLsc),9.27123603392,9.27123603392,0.507531430748669
90188f23-885d-49bb-8cea-856d8abef070,600,,No Predefinida,100.0,12,R(60LOLsc_40PST),3.40180524586,3.40180524586,3.401805245858251
90811770-4869-4554-9ee5-b5283236bbbb,600,,No Predefinida,100.0,12,R(70IAS(70SNE_20EDFnv_05ZAU_05VAP)_30EDP(75OCT_15ZAU_10EDFea)),2.00799340249,2.00799340249,2.007993402488457
908c3ed4-b425-47f2-875a-9f80493ef378,600,,No Predefinida,100.0,11,A(85CNF_15PST),144.02906132525,144.02906132525,0.00042800886004250093
910405b5-b428-4765-9411-df0329a229f8,600,,No Predefinida,100.0,13,I(85LFCsc_15EDFva),2.85233861091,2.85233861091,2.8523386109064455
91131a92-c257-4739-9bc7-5d80af990ce3,858,EDP,Deportivo,100.0,,EDP(95OCT_05EDFea),1.13696941334,1.13696941334,1.1369694133374193
91261846-7355-49fc-b2b0-8866f1b7491c,857,ECL,Cultural,100.0,,ECL(60EDFea_40ZAU),3.28007099178,3.28007099178,3.280070991782478
916ddc32-096f-4e8f-b882-2c8843006a8e,600,,No Predefinida,100.0,12,R(50LFCrr_40PSTpc_10EDFva),6.41853515445,6.41853515445,6.41853515445234
918347ed-ee13-4982-8e0e-110a50db86ae,600,,No Predefinida,100.0,12,R(75LFNsc_15PSTpc_10EDFva),23.11322527826,23.11322527826,23.113225278262004
91a26476-6a2a-4e4b-81d2-5a6bd06e7f3f,841,TCO,Comercial y Oficinas,100.0,,TCO(75EDFea_25VAP),4.69163079977,4.69163079977,4.460215071964702
91a74e5f-9a88-4330-86bb-ca8b808686df,600,,No Predefinida,100.0,12,R(75EDU(40SNE_30EDFea_20OCT_10ZAU)_25VAP),2.1774292239,2.1774292239,2.177429223900127
