type,aux info,tag used,org_type,old_label,type_original,area_m2
RES,residential_types,building:garage,RES,Single Family Detached,RES,84.63777254297051
RES,residential_types,building:garage,RES,Single Family Detached,RES,60.57329895005738
RES,residential_types,building:garage,RES,Single Family Detached,RES,50.67206202836526
RES,residential_types,building:garage,RES,Single Family Detached,RES,41.16051590435173
RES,residential_types,building:garage,RES,Single Family Detached,RES,47.62684597941559
RES,residential_types,building:house,RES,Single Family Detached,RES,113.69077424304596
RES,residential_types,building:house,RES,Single Family Detached,RES,134.66981023541445
RES,residential_types,building:garage,RES,Single Family Detached,RES,72.56023367911075
RES,residential_types,building:house,RES,Single Family Detached,RES,95.75530281686542
RES,residential_types,building:house,RES,Single Family Detached,RES,134.04787946317145
RES,residential_types,building:house,RES,Single Family Detached,RES,83.18203029369737
RES,residential_types,building:house,RES,Single Family Detached,RES,110.13679279969878
RES,residential_types,building:garage,RES,Single Family Detached,RES,95.24463224800023
RES,residential_types,building:house,RES,Single Family Detached,RES,94.27241978412313
RES,residential_types,building:house,RES,Single Family Attached,RES,121.62820565418333
RES,residential_types,building:house,RES,Single Family Detached,RES,129.41589892984356
RES,residential_types,building:house,RES,Single Family Detached,RES,170.38133377030692
RES,residential_types,building:house,RES,Single Family Detached,RES,88.89865025274536
RES,residential_types,building:house,RES,Single Family Detached,RES,109.25648903186719
RES,residential_types,building:house,RES,Single Family Attached,RES,109.52161185398394
RES,residential_types,building:house,RES,Single Family Detached,RES,94.79652528123364
RES,residential_types,building:house,RES,Single Family Detached,RES,147.70944780726805
RES,residential_types,building:house,RES,Single Family Detached,RES,124.31692726015814
RES,residential_types,building:shed,RES,Single Family Detached,RES,20.673736012558095
RES,residential_types,building:garage,RES,Single Family Detached,RES,106.32944946732918
RES,residential_types,building:house,RES,Single Family Detached,RES,130.97812328032788
RES,residential_types,building:house,RES,Single Family Attached,RES,112.02567584391113
RES,residential_types,building:garage,RES,Single Family Detached,RES,53.23419112727112
RES,residential_types,building:house,RES,Single Family Detached,RES,135.5081143962842
RES,residential_types,building:garage,RES,Single Family Detached,RES,67.91854720157
RES,residential_types,building:house,RES,Single Family Detached,RES,108.52161313885613
RES,residential_types,building:house,RES,Single Family Detached,RES,82.60110726304787
RES,residential_types,building:house,RES,Single Family Detached,RES,118.49098065006805
RES,residential_types,building:garage,RES,Single Family Detached,RES,38.40677836653374
RES,residential_types,building:garage,RES,Single Family Detached,RES,68.5487788782121
RES,residential_types,building:house,RES,Single Family Detached,RES,83.82578409837404
RES,residential_types,building:apartments,RES,Multifamily,RES,420.5388024709221
RES,residential_types,building:garage,RES,Single Family Detached,RES,50.762535434502134
RES,residential_types,building:house,RES,Single Family Detached,RES,113.18394079208215
RES,residential_types,building:garage,RES,Single Family Detached,RES,56.97285617493738
RES,residential_types,building:garage,RES,Single Family Detached,RES,65.8003495183264
RES,residential_types,building:garage,RES,Single Family Detached,RES,68.9747249835245
RES,residential_types,building:garage,RES,Single Family Detached,RES,72.6721683827825
RES,residential_types,building:house,RES,Single Family Detached,RES,119.34399022761482
RES,residential_types,building:house,RES,Single Family Detached,RES,138.5779944190118
RES,residential_types,building:garage,RES,Single Family Detached,RES,65.64775322303217
RES,residential_types,building:house,RES,Single Family Detached,RES,109.76582071204834
RES,residential_types,building:garage,RES,Single Family Detached,RES,64.95416826082607
RES,residential_types,building:garage,RES,Single Family Detached,RES,86.44128732419516
RES,residential_types,building:garage,RES,Single Family Detached,RES,106.97943390659171
RES,residential_types,building:house,RES,Single Family Detached,RES,106.09841280901526
RES,residential_types,building:house,RES,Single Family Detached,RES,91.33311351028608
RES,residential_types,building:house,RES,Single Family Detached,RES,99.11341733024915
RES,residential_types,building:house,RES,Single Family Detached,RES,200.71611220367492
RES,residential_types,building:house,RES,Single Family Detached,RES,211.0547298380453
RES,residential_types,building:house,RES,Single Family Detached,RES,146.95293663671777
RES,residential_types,building:garage,RES,Single Family Attached,RES,111.67840146156635
RES,residential_types,building:house,RES,Single Family Detached,RES,119.30807915147268
RES,residential_types,building:house,RES,Single Family Attached,RES,92.8038441705039
RES,residential_types,building:apartments,RES,Multifamily,RES,1525.08256561977
RES,residential_types,building:house,RES,Single Family Detached,RES,152.23152933937246
RES,residential_types,building:garage,RES,Single Family Attached,RES,46.14939708032828
RES,residential_types,building:house,RES,Single Family Attached,RES,104.46944604360866
RES,residential_types,building:apartments,RES,Multifamily,RES,496.2718496736226
RES,residential_types,building:apartments,RES,Multifamily,RES,332.6830843988197
RES,residential_types,building:apartments,RES,Multifamily,RES,335.4299857770164
RES,residential_types,building:apartments,RES,Multifamily,RES,345.1063577125022
RES,residential_types,building:apartments,RES,Multifamily,RES,1176.5737222154314
RES,residential_types,building:apartments,RES,Multifamily,RES,332.7201360645562
RES,residential_types,building:apartments,RES,Multifamily,RES,1196.7533603952197
RES,residential_types,building:apartments,RES,Multifamily,RES,345.2421107180048
RES,residential_types,building:apartments,RES,Multifamily,RES,1253.6667342963951
RES,residential_types,building:apartments,RES,Multifamily,RES,1209.6258067510478
RES,residential_types,building:apartments,RES,Multifamily,RES,1261.3091810290778
RES,residential_types,building:apartments,RES,Multifamily,RES,1263.230732983576
RES,residential_types,building:apartments,RES,Multifamily,RES,1249.067941950965
RES,residential_types,building:apartments,RES,Multifamily,RES,1337.659042829405
RES,residential_types,building:apartments,RES,Multifamily,RES,1359.9698504739295
RES,residential_types,building:apartments,RES,Multifamily,RES,1291.1024734313517
RES,residential_types,building:apartments,NON_RES,Institutional,RES,1819.843064339606
RES,residential_types,building:apartments,RES,Multifamily,RES,1397.596478543627
RES,residential_types,building:garages,RES,Multifamily,RES,202.82227200022876
RES,residential_types,building:apartments,RES,Multifamily,RES,350.82184439796595
RES,residential_types,building:apartments,RES,Multifamily,RES,341.2596729760529
RES,residential_types,building:garages,RES,Multifamily,RES,202.86776411313585
RES,residential_types,building:garages,RES,Multifamily,RES,376.75362663377996
RES,residential_types,building:garages,RES,Multifamily,RES,171.43696561335403
RES,residential_types,building:apartments,RES,Multifamily,RES,350.97099588875426
RES,residential_types,building:garages,RES,Multifamily,RES,809.2595434059635
RES,residential_types,building:garages,RES,Multifamily,RES,387.007062143025
RES,residential_types,building:garage,RES,Single Family Detached,RES,38.04436341984797
RES,residential_types,building:apartments,RES,Multifamily,RES,350.9680116918965
RES,residential_types,building:house,RES,Single Family Detached,RES,67.6778300654024
RES,residential_types,building:apartments,RES,Multifamily,RES,396.59530791961504
RES,residential_types,building:garages,RES,Multifamily,RES,972.9582887125997
RES,residential_types,building:garages,RES,Multifamily,RES,538.5047217871211
RES,residential_types,building:garages,RES,Multifamily,RES,577.0704065006333
RES,residential_types,building:garages,RES,Multifamily,RES,544.4809050946465
RES,residential_types,building:house,RES,Single Family Attached,RES,229.70469412298294
RES,residential_types,building:garages,RES,Multifamily,RES,626.4453512503275
RES,residential_types,building:garages,RES,Multifamily,RES,847.5002848721546
RES,residential_types,building:house,RES,Single Family Attached,RES,220.67406475861824
RES,residential_types,building:house,NON_RES,Institutional,RES,191.35542930081064
RES,residential_types,building:house,RES,Single Family Attached,RES,221.92904369573125
RES,residential_types,building:house,RES,Single Family Attached,RES,213.31612154857234
RES,residential_types,building:house,RES,Single Family Attached,RES,261.506439757386
RES,residential_types,building:house,RES,Single Family Attached,RES,253.3435196829532
RES,residential_types,building:apartments,RES,Single Family Attached,RES,583.7824286659436
RES,residential_types,building:apartments,RES,Single Family Attached,RES,313.88992400547886
RES,residential_types,building:apartments,RES,Single Family Attached,RES,571.4106262559919
RES,residential_types,building:apartments,RES,Single Family Attached,RES,440.76808374435785
RES,residential_types,building:apartments,RES,Single Family Attached,RES,316.91418188428645
RES,residential_types,building:apartments,RES,Single Family Attached,RES,304.01208117079625
RES,residential_types,building:apartments,RES,Single Family Attached,RES,580.4875863920086
RES,residential_types,building:apartments,RES,Single Family Attached,RES,556.5057615968481
RES,residential_types,building:apartments,RES,Single Family Attached,RES,313.9351999958599
RES,residential_types,building:apartments,RES,Single Family Attached,RES,307.5603312472474
RES,residential_types,building:apartments,RES,Single Family Attached,RES,443.70194233194235
RES,residential_types,building:house,RES,Single Family Attached,RES,261.34276327299807
RES,residential_types,building:house,RES,Single Family Attached,RES,216.02643381736112
RES,residential_types,building:house,RES,Single Family Attached,RES,199.5789244200591
RES,residential_types,building:garage,RES,Single Family Attached,RES,79.26449092289742
RES,residential_types,building:shed,RES,Single Family Attached,RES,16.683399351888717
RES,residential_types,building:garage,RES,Single Family Attached,RES,91.56936658650893
RES,residential_types,building:garage,RES,Single Family Attached,RES,81.57723430182737
RES,residential_types,building:garage,RES,Single Family Attached,RES,87.68052832525488
RES,residential_types,building:garage,RES,Single Family Attached,RES,65.240363671408
RES,residential_types,building:garage,RES,Single Family Attached,RES,60.15938043965753
RES,residential_types,building:garage,RES,Single Family Attached,RES,98.81752640313283
RES,residential_types,building:house,RES,Single Family Attached,RES,283.81528349102933
RES,residential_types,building:house,RES,Single Family Attached,RES,99.664846717683
RES,residential_types,building:house,RES,Single Family Attached,RES,222.10867306899104
RES,residential_types,building:house,RES,Single Family Attached,RES,220.71348005881245
RES,residential_types,building:house,RES,Single Family Attached,RES,222.09977459361662
RES,residential_types,building:house,RES,Single Family Attached,RES,212.4701381179619
RES,residential_types,building:apartments,RES,Single Family Attached,RES,247.34507580972542
RES,residential_types,building:apartments,RES,Single Family Attached,RES,247.50872035563432
RES,residential_types,building:apartments,RES,Single Family Attached,RES,247.45996500999087
RES,residential_types,building:apartments,RES,Single Family Attached,RES,250.87846891099784
RES,residential_types,building:apartments,RES,Single Family Attached,RES,399.0030501010932
RES,residential_types,building:apartments,RES,Single Family Attached,RES,398.79833810770265
RES,residential_types,building:garage,NON_RES,Retail and Other Commercial,RES,140.05084613711927
RES,residential_types,building:garage,RES,Multifamily,RES,43.40328570052621
RES,residential_types,building:house,RES,Multifamily,RES,175.8148569188233
RES,residential_types,building:shed,RES,Multifamily,RES,12.208272903094748
RES,residential_types,building:house,RES,Multifamily,RES,275.3690292600172
RES,residential_types,building:apartments,RES,Multifamily,RES,5041.8045957913455
RES,residential_types,building:garages,RES,Multifamily,RES,207.25581659700737
RES,residential_types,building:garages,RES,Multifamily,RES,198.30193316053155
RES,residential_types,building:garage,RES,Single Family Attached,RES,141.742085595275
RES,residential_types,building:garages,RES,Multifamily,RES,123.46256429473996
RES,residential_types,building:garages,RES,Multifamily,RES,119.24685284166839
RES,residential_types,building:house,RES,Multifamily,RES,179.25240291626463
RES,residential_types,building:garages,RES,Multifamily,RES,198.37544255422472
RES,residential_types,building:garages,RES,Multifamily,RES,200.3355736444708
RES,residential_types,building:house,RES,Multifamily,RES,196.4402249019913
RES,residential_types,building:house,RES,Multifamily,RES,223.30187844870807
RES,residential_types,building:house,RES,Single Family Attached,RES,272.46227598192047
RES,residential_types,building:garage,RES,Multifamily,RES,64.07097127757025
RES,residential_types,building:house,RES,Single Family Attached,RES,240.43187858370553
RES,residential_types,building:house,RES,Single Family Detached,RES,102.23832443942379
RES,residential_types,building:house,RES,Multifamily,RES,189.8553765109105
RES,residential_types,building:house,RES,Single Family Attached,RES,208.77322149011943
RES,residential_types,building:garage,RES,Single Family Detached,RES,66.50624422207493
RES,residential_types,building:house,RES,Multifamily,RES,357.57856492783344
RES,residential_types,building:garage,RES,Multifamily,RES,75.82181284989731
RES,residential_types,building:house,RES,Single Family Detached,RES,66.3971660064214
RES,residential_types,building:house,RES,Multifamily,RES,231.4151214272345
RES,residential_types,building:garage,RES,Single Family Attached,RES,94.01874034670296
RES,residential_types,building:garage,RES,Single Family Attached,RES,65.20712001795968
RES,residential_types,building:residential,RES,Multifamily,RES,276.18680727633796
RES,residential_types,building:residential,RES,Multifamily,RES,246.4504117653737
RES,residential_types,building:residential,RES,Multifamily,RES,240.72677727268055
RES,residential_types,building:house,RES,Multifamily,RES,191.08454488783514
RES,residential_types,building:garage,RES,Multifamily,RES,75.72164406393541
RES,residential_types,building:house,RES,Single Family Detached,RES,74.04592641839425
RES,residential_types,building:house,RES,Multifamily,RES,185.68575128913795
RES,residential_types,building:garage,RES,Single Family Detached,RES,71.13795821203041
RES,residential_types,building:house,RES,Multifamily,RES,180.02193589409018
RES,residential_types,building:residential,RES,Multifamily,RES,240.64139803293648
RES,residential_types,building:house,RES,Single Family Detached,RES,369.97917263354896
RES,residential_types,building:house,RES,Single Family Detached,RES,125.06577204254329
RES,residential_types,building:house,RES,Multifamily,RES,209.1454236143543
RES,residential_types,building:apartments,RES,Single Family Attached,RES,514.8820351992146
RES,residential_types,building:apartments,RES,Single Family Attached,RES,558.3115046804747
RES,residential_types,building:shed,RES,Single Family Attached,RES,6.0821706962975695
RES,residential_types,building:house,RES,Single Family Attached,RES,195.19259108054104
RES,residential_types,building:house,RES,Single Family Attached,RES,191.34349967827004
RES,residential_types,building:house,RES,Single Family Attached,RES,192.59737843516638
RES,residential_types,building:house,RES,Single Family Attached,RES,213.72920960875464
RES,residential_types,building:residential,RES,Multifamily,RES,200.7589057527511
RES,residential_types,building:residential,RES,Multifamily,RES,244.93979365972154
RES,residential_types,building:shed,RES,Multifamily,RES,13.276013586423165
RES,residential_types,building:house,RES,Single Family Attached,RES,126.13568110903185
RES,residential_types,building:shed,RES,Multifamily,RES,13.74860464788972
RES,residential_types,building:apartments,RES,Multifamily,RES,391.535359064113
RES,residential_types,building:residential,RES,Single Family Attached,RES,146.12864856961312
RES,residential_types,building:residential,RES,Multifamily,RES,200.8543216131039
RES,residential_types,building:residential,RES,Multifamily,RES,199.25814848470458
RES,residential_types,building:garage,RES,Single Family Attached,RES,59.36375811886491
RES,residential_types,building:house,RES,Single Family Attached,RES,128.06118441942016
RES,residential_types,building:residential,RES,Multifamily,RES,231.25129903086093
RES,residential_types,building:residential,RES,Multifamily,RES,176.894118597482
RES,residential_types,building:residential,RES,Multifamily,RES,246.56980037418796
RES,residential_types,building:residential,RES,Multifamily,RES,229.99529353218554
RES,residential_types,building:residential,RES,Multifamily,RES,193.08550898004506
RES,residential_types,building:garages,RES,Multifamily,RES,140.40895352683566
RES,residential_types,building:garage,RES,Multifamily,RES,111.85408328675952
RES,residential_types,building:garage,RES,Multifamily,RES,131.7531757040199
RES,residential_types,building:house,RES,Multifamily,RES,174.21647453501336
RES,residential_types,building:garage,RES,Single Family Attached,RES,125.38122497157411
RES,residential_types,building:house,RES,Single Family Attached,RES,124.98693819196197
RES,residential_types,building:house,RES,Single Family Attached,RES,189.44840441030507
RES,residential_types,building:house,RES,Single Family Detached,RES,354.18878665224213
RES,residential_types,building:garage,RES,Single Family Detached,RES,179.8664085197003
RES,residential_types,building:shed,RES,Single Family Detached,RES,22.357502577282062
RES,residential_types,building:apartments,RES,Multifamily,RES,560.6376767638026
RES,residential_types,building:apartments,RES,Multifamily,RES,560.5652204471277
RES,residential_types,building:apartments,RES,Multifamily,RES,560.4677067829199
RES,residential_types,building:apartments,RES,Multifamily,RES,560.5091366122208
RES,residential_types,building:house,RES,Multifamily,RES,378.26360121004666
RES,residential_types,building:house,RES,Single Family Attached,RES,297.95786379907895
RES,residential_types,building:house,RES,Multifamily,RES,184.12529372968254
RES,residential_types,building:house,RES,Multifamily,RES,228.70077527417715
RES,residential_types,building:house,RES,Multifamily,RES,174.03091549566705
RES,residential_types,building:garage,RES,Multifamily,RES,71.11331883822386
RES,residential_types,building:garage,RES,Multifamily,RES,55.837055983804454
RES,residential_types,building:house,RES,Multifamily,RES,195.53750942663487
RES,residential_types,building:house,RES,Single Family Attached,RES,257.3015072997348
RES,residential_types,building:house,RES,Single Family Attached,RES,260.59419679111426
RES,residential_types,building:house,RES,Single Family Attached,RES,200.92026998540612
RES,residential_types,building:house,RES,Single Family Attached,RES,266.16111160976476
RES,residential_types,building:house,RES,Single Family Attached,RES,250.5030967165524
RES,residential_types,building:garages,RES,Multifamily,RES,147.51824112833395
RES,residential_types,building:house,RES,Multifamily,RES,181.3591136069325
RES,residential_types,building:house,RES,Single Family Attached,RES,119.90217952687134
RES,residential_types,building:garage,RES,Single Family Detached,RES,71.06462241785052
RES,residential_types,building:garage,RES,Multifamily,RES,88.80458408079451
RES,residential_types,building:house,RES,Single Family Attached,RES,184.89954396972684
RES,residential_types,building:garage,RES,Single Family Attached,RES,72.2847790181154
RES,residential_types,building:garage,RES,Single Family Attached,RES,66.134708074767
RES,residential_types,building:apartments,RES,Multifamily,RES,359.6092323418737
RES,residential_types,building:apartments,RES,Multifamily,RES,293.2149386566479
RES,residential_types,building:garages,RES,Multifamily,RES,124.66680411864067
RES,residential_types,building:house,RES,Single Family Detached,RES,78.10802213712076
RES,residential_types,building:house,RES,Multifamily,RES,293.9409344421106
RES,residential_types,building:house,RES,Single Family Detached,RES,199.876442978851
RES,residential_types,building:house,RES,Single Family Detached,RES,167.23442274471762
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,107.11340128664645
RES,residential_types,building:house,RES,Single Family Detached,RES,91.31363196446986
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,97.45087391502521
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,130.06692100458193
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,151.89249371172903
RES,residential_types,building:house,RES,Single Family Detached,RES,161.50283499769986
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,86.72945607393828
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,135.34201447705894
RES,residential_types,building:shed,RES,Single Family Detached,RES,19.46751623453271
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,93.95153382411493
RES,residential_types,building:garage,RES,Single Family Detached,RES,77.89300502318409
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,183.2749387952046
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,105.10276231801924
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,108.68930333239585
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,120.52192252610189
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,103.35339499420914
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,93.42794465457581
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,96.20299445745559
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,88.13477277454088
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,137.69225404476268
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,88.62923691517736
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,92.24428889732356
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,89.71352376970573
RES,residential_types,building:house,RES,Single Family Detached,RES,98.95124781394982
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,104.0835788362024
RES,residential_types,building:garage,RES,Single Family Detached,RES,57.28008881592917
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,89.36552663184102
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,99.14470402189772
RES,residential_types,building:house,RES,Single Family Attached,RES,254.57375792104727
RES,residential_types,building:garage,RES,Single Family Detached,RES,63.3189702142936
RES,residential_types,building:garage,RES,Single Family Detached,RES,64.23478781952352
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,115.84313601881809
RES,residential_types,building:apartments,RES,Multifamily,RES,506.469700254156
RES,residential_types,building:apartments,RES,Multifamily,RES,491.82613595076293
RES,residential_types,building:house,RES,Single Family Attached,RES,221.5620706871618
RES,residential_types,building:house,RES,Single Family Detached,RES,119.67489646219481
RES,residential_types,building:house,RES,Single Family Detached,RES,91.72356502715695
RES,residential_types,building:house,RES,Single Family Detached,RES,135.8834510063976
RES,residential_types,building:house,RES,Single Family Detached,RES,109.66070207235643
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,168.35612348999976
RES,residential_types,building:house,RES,Single Family Attached,RES,203.59796216960163
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,240.31537242832795
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,76.97892109821522
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,87.75757973329016
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,77.7320527636568
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,100.07630072851764
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,95.13504675471832
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,71.14474399178503
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,80.72398063219303
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,74.98742168173226
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,71.36022124018105
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,77.00333014429795
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,43.85031506724816
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,66.85396855222542
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,86.56554856723794
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,121.84831703337376
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,57.662701116225634
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,73.60790200968411
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,75.90539610706476
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,65.47302936334845
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,76.97891917641819
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,73.54062485831011
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,93.5360535879009
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,78.90198929429913
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,44.969425662390776
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,68.51461386461227
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,71.36022596241271
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,75.3851467468468
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,77.00333050681022
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,70.2415773736799
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,100.39941026219893
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,71.36022485805297
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,76.99910936708058
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,73.91701407334315
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,88.43910721085558
