type,aux info,tag used,org_type,old_label,type_original,area_m2
RES,residential_auxiliary,landuse:residential,RES,Single Family Detached,RES,134.54548311529211
RES,residential_auxiliary,landuse:residential,NON_RES,Retail and Other Commercial,RES,334.8497244050041
NON_RES,non_residential_auxiliary_generic_tag,brand:edward jones,NON_RES,Retail and Other Commercial,NON_RES,755.3368918337926
NON_RES,non_residential_auxiliary,landuse:commercial,NON_RES,Retail and Other Commercial,NON_RES,1086.8643575931562
NON_RES,non_residential_auxiliary_generic_tag,brand:holiday,NON_RES,Retail and Other Commercial,NON_RES,362.11115253757305
NON_RES,residential_unknown_tag,,NON_RES,Institutional,RES,2738.6296383821546
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,Retail and Other Commercial,NON_RES,544.9976295274971
RES,residential_unknown_tag,,NON_RES,Institutional,RES,49.752616215436205
RES,residential_unknown_tag,,RES,Single Family Detached,RES,48.41947433505382
RES,residential_unknown_tag,,RES,Single Family Detached,RES,111.97442263039227
RES,residential_unknown_tag,,RES,Single Family Detached,RES,115.41320801864394
RES,residential_unknown_tag,,NON_RES,Institutional,RES,302.2540263227484
RES,residential_auxiliary,landuse:residential,RES,Single Family Attached,RES,426.55500693561527
RES,residential_auxiliary,landuse:residential,RES,Single Family Attached,RES,464.61613130114904
RES,residential_auxiliary,landuse:residential,RES,Single Family Attached,RES,443.8409157379494
RES,residential_auxiliary,landuse:residential,RES,Single Family Attached,RES,438.9123399770659
RES,residential_auxiliary,landuse:residential,RES,Single Family Attached,RES,359.05098875810216
RES,residential_auxiliary,landuse:residential,RES,Single Family Attached,RES,234.36779569354314
RES,residential_auxiliary,landuse:residential,RES,Single Family Attached,RES,439.8767819230728
RES,residential_auxiliary,landuse:residential,RES,Single Family Attached,RES,183.3964471497797
RES,residential_auxiliary,landuse:residential,RES,Single Family Attached,RES,349.1965309262554
RES,residential_auxiliary,landuse:residential,RES,Single Family Attached,RES,611.2163041040301
RES,residential_auxiliary,landuse:residential,RES,Single Family Attached,RES,456.9731678428461
RES,residential_auxiliary,landuse:residential,RES,Single Family Attached,RES,441.35124700347984
RES,residential_auxiliary,landuse:residential,RES,Single Family Attached,RES,472.9883982223091
RES,residential_auxiliary,landuse:residential,RES,Single Family Attached,RES,925.6464000769828
NON_RES,non_residential_auxiliary,landuse:commercial,NON_RES,Retail and Other Commercial,NON_RES,1494.7230355631045
NON_RES,non_residential_auxiliary_generic_tag,brand:domino's,NON_RES,Retail and Other Commercial,NON_RES,720.0922863079701
NON_RES,non_residential_auxiliary_generic_tag,leisure:fitness_centre,NON_RES,Retail and Other Commercial,NON_RES,1120.2706122469406
NON_RES,non_residential_auxiliary_generic_tag,brand:subway,NON_RES,Retail and Other Commercial,NON_RES,1053.494561648178
NON_RES,non_residential_auxiliary_generic_tag,shop:butcher,NON_RES,Retail and Other Commercial,NON_RES,1410.8617129198778
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,Retail and Other Commercial,NON_RES,2004.4659408206157
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,Retail and Other Commercial,NON_RES,193.22674724467655
RES,residential_unknown_tag,,NON_RES,Retail and Other Commercial,RES,279.9316341154281
RES,residential_auxiliary,landuse:residential,RES,Multifamily,RES,2194.587815749689
NON_RES,non_residential_auxiliary,landuse:commercial,RES,Multifamily,NON_RES,622.0528085876338
